,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,inference_time,action_cpu_time_ur5_1,planner_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
0,0,0,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.07843831299999948,41.779687259999996,0.864041813,0.0005166199999990795,0.30280375480651855,[ 0.07427508 -0.10568646  0.5450902 ],[0. 0. 0.],[ 0.69885361  0.71523422  0.00614943 -0.00243523],1.0013580322265625e-05,[-3.11691625 -0.8101611  -1.57906175 -2.34777404  1.58446829],"[-6.44694991e-06 -3.79636793e-05  0.00000000e+00 -1.96136424e-04
 -1.09938738e-07]",7.652000000746284e-06,-0.3530272556947019,3.368005725491602,0.05
1,0,0,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.14756024000000423,41.848809187,0.8644300460000025,5.0990000005413094e-05,0.30280375480651855,[ 0.09004238 -0.10141486  0.54082626],[0. 0. 0.],[ 0.69000745  0.72362292  0.00185916 -0.01600353],1.1920928955078125e-05,[-3.09223973 -0.8349819  -1.58738674 -2.33941738  1.59812256],"[-7.23068607e-06 -3.73313252e-05 -2.77555756e-17 -1.93824662e-04
 -1.50058700e-06]",0.0038705129999954124,-0.35255825485128206,3.3641439083412426,0.05
2,0,0,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.21450339400000473,41.915752341,0.8645189749999957,3.776899999508032e-05,0.30280375480651855,[ 0.10544856 -0.09644527  0.53618538],[0. 0. 0.],[ 0.68104833  0.73164052 -0.00276428 -0.02945829],2.8848648071289062e-05,[-3.06756322 -0.85980271 -1.59571173 -2.33106071  1.61177683],"[-8.05721969e-06 -3.67289234e-05  2.77555756e-17 -1.91678236e-04
 -2.74651587e-06]",5.9719999967455806e-06,-0.3520925006363044,3.360283136124609,0.05
3,0,0,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,0.2842124630000029,41.98546141,0.8648003909999957,3.818900000140957e-05,0.30280375480651855,[ 0.12045895 -0.09079905  0.53117502],[0. 0. 0.],[ 0.671987    0.73928553 -0.00771828 -0.04278835],2.1219253540039062e-05,[-3.0428867  -0.88462351 -1.60403671 -2.32270404  1.62543111],"[-8.93392829e-06 -3.61635579e-05  2.77555756e-17 -1.89762544e-04
 -3.84541508e-06]",5.166999997641142e-06,-0.3516316229643759,3.356439707987772,0.05
4,0,0,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,0.36001639100000205,42.061265338,0.8651512169999975,3.790600000286304e-05,0.30280375480651855,[ 0.13504018 -0.08449934  0.52580273],[0. 0. 0.],[ 0.66283476  0.74655682 -0.01299987 -0.05598263],2.7894973754882812e-05,[-3.01821019 -0.90944432 -1.6123617  -2.31434738  1.63908538],"[-9.86894147e-06 -3.56399666e-05  0.00000000e+00 -1.88133316e-04
 -4.79520253e-06]",5.080000001100871e-06,-0.3511772893552048,3.3526302991278145,0.05
5,0,0,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,0.43207153300000556,42.13332048,0.8654084849999961,4.2234999995116596e-05,0.30280375480651855,[ 0.14916027 -0.07757091  0.52007651],[0. 0. 0.],[ 0.65360266  0.75345355 -0.01860577 -0.06903013],2.6464462280273438e-05,[-2.99353368 -0.93426512 -1.62068669 -2.30599071  1.65273965],"[-1.08700343e-05 -3.51603365e-05  0.00000000e+00 -1.86833655e-04
 -5.59385116e-06]",6.554999998797939e-06,-0.3507312301772918,3.348872213229743,0.05
6,0,0,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.5017316489999999,42.202980595999996,0.8663038929999942,3.896300000150177e-05,0.30280375480651855,[ 0.16278873 -0.07004014  0.51400459],[0. 0. 0.],[ 0.64430153  0.75997555 -0.0245323  -0.08191987],2.288818359375e-05,[-2.96885716 -0.95908593 -1.62901168 -2.29763405  1.66639393],"[-1.19429651e-05 -3.47240929e-05  2.77555756e-17 -1.85890541e-04
 -6.23975310e-06]",5.617999995877199e-06,-0.3502952052791717,3.345183048778904,0.05
7,0,0,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.9413701550000013,42.642619102,1.2451480419999967,6.876700000191249e-05,0.30280375480651855,[ 0.17589663 -0.0619349   0.50759536],[0. 0. 0.],[ 0.63494247  0.7661227  -0.03077547 -0.09464106],2.6464462280273438e-05,[-2.94418065 -0.98390674 -1.63733666 -2.28927739  1.6800482 ],"[-1.30893413e-05 -3.43277114e-05 -2.77555756e-17 -1.85311124e-04
 -6.73273042e-06]",8.024000003103993e-06,-0.34987101179382746,3.341580777105129,0.05
8,0,0,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,1.609537588000002,43.310786535,1.8516230039999968,6.181100000191009e-05,0.30280375480651855,[ 0.18845661 -0.05328446  0.50085759],[0. 0. 0.],[ 0.62553656  0.77189523 -0.03733097 -0.10718295],2.09808349609375e-05,[-2.91950413 -1.00872754 -1.64566165 -2.28092073  1.69370248],"[-1.43042812e-05 -3.39645939e-05  0.00000000e+00 -1.85079359e-04
 -7.07565159e-06]",7.480999997255822e-06,-0.3494604798223336,3.338083699219164,0.05
9,0,0,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,2.290380566000003,43.991629513,2.418171803,7.057500000229311e-05,0.30280375480651855,[ 0.20044304 -0.04411939  0.49380022],[0. 0. 0.],[ 0.61609471  0.77729368 -0.04419411 -0.11953495],1.0967254638671875e-05,[-2.89482762 -1.03354835 -1.65398664 -2.27256407  1.70735676],"[-1.55743234e-05 -3.36250713e-05  0.00000000e+00 -1.85153690e-04
 -7.27639809e-06]",7.502000002546083e-06,-0.3490654536545268,3.3347102580193733,0.05
